Tanggal Transaksi,iPhone Terjual,iPad Terjual,MacBook Terjual,Jumlah Transaksi,Total Pendapatan
26/06/2023,86,745,587,1418,28800100000
27/06/2023,382,470,789,1641,24528300000
28/06/2023,945,873,689,2507,34601700000
29/06/2023,893,557,217,1667,17740400000
30/06/2023,141,976,111,1228,14782600000
01/07/2023,495,881,265,1641,20635800000
02/07/2023,994,730,347,2071,32386000000
03/07/2023,954,906,851,2711,39875900000
04/07/2023,511,326,485,1322,31676000000
05/07/2023,371,731,876,1978,57822300000
06/07/2023,250,937,462,1649,26756800000
07/07/2023,235,321,695,1251,35631600000
08/07/2023,280,98,262,640,13164000000
09/07/2023,253,30,947,1230,32248500000
10/07/2023,149,93,646,888,23439400000
11/07/2023,398,94,249,741,11670400000
12/07/2023,784,51,863,1698,23754400000
13/07/2023,989,435,741,2165,53818700000
14/07/2023,299,179,443,921,23244900000
15/07/2023,558,317,551,1426,27862100000
16/07/2023,680,270,773,1723,29031100000
17/07/2023,853,373,737,1963,50022300000
18/07/2023,724,588,660,1972,26640800000
19/07/2023,472,429,148,1049,14033400000
20/07/2023,474,509,918,1901,25992600000
21/07/2023,787,274,307,1368,20832900000
22/07/2023,251,385,135,771,13398700000
23/07/2023,768,126,562,1456,30136400000
24/07/2023,840,835,559,2234,30615900000
25/07/2023,658,323,698,1679,21575200000
26/07/2023,821,690,718,2229,49921700000
27/07/2023,483,310,544,1337,29332800000
28/07/2023,375,891,490,1756,31901600000
29/07/2023,918,288,498,1704,34860000000
30/07/2023,370,787,157,1314,17437100000
31/07/2023,644,750,173,1567,22552400000
01/08/2023,108,107,850,1065,30026000000
02/08/2023,761,524,79,1364,15663900000
03/08/2023,508,681,250,1439,27490500000
04/08/2023,154,809,339,1302,19762200000
05/08/2023,155,645,55,855,10615000000
06/08/2023,544,20,70,634,11625800000
07/08/2023,394,971,28,1393,17233200000
08/08/2023,126,967,924,2017,39653900000
09/08/2023,699,262,304,1265,17543100000
10/08/2023,108,622,882,1612,28272800000
11/08/2023,296,332,632,1260,27914000000
12/08/2023,576,283,398,1257,21377100000
13/08/2023,368,347,635,1350,38413000000
14/08/2023,289,401,998,1688,48935200000
15/08/2023,450,491,856,1797,43001800000
16/08/2023,274,935,409,1618,35615300000
17/08/2023,506,974,272,1752,21310200000
18/08/2023,942,547,565,2054,44197600000
19/08/2023,809,652,221,1682,30199200000
20/08/2023,131,723,869,1723,23618900000
21/08/2023,532,505,364,1401,21880100000
22/08/2023,328,541,967,1836,51073000000
23/08/2023,291,289,258,838,13692200000
24/08/2023,77,994,614,1685,22039300000
25/08/2023,908,105,704,1717,24224300000
26/08/2023,135,423,85,643,8584800000
27/08/2023,891,618,776,2285,34811900000
28/08/2023,358,219,645,1222,33950700000
29/08/2023,715,855,96,1666,24082200000
30/08/2023,146,52,34,232,3840200000
31/08/2023,240,883,846,1969,26823400000
01/09/2023,573,397,710,1680,28643300000
02/09/2023,767,539,54,1360,21770700000
03/09/2023,475,371,305,1151,20813000000
04/09/2023,80,454,998,1532,16609000000
05/09/2023,999,96,723,1818,27627900000
06/09/2023,577,344,254,1175,13780500000
07/09/2023,365,520,374,1259,14615000000
08/09/2023,899,201,878,1978,47707200000
09/09/2023,601,285,636,1522,45399800000
10/09/2023,689,29,189,907,13422100000
11/09/2023,894,931,795,2620,51460700000
12/09/2023,977,890,695,2562,34748800000
13/09/2023,785,873,159,1817,28393000000
14/09/2023,547,576,66,1189,18831000000
15/09/2023,718,328,982,2028,44147600000
16/09/2023,230,434,366,1030,21141600000
17/09/2023,223,461,62,746,10434200000
18/09/2023,498,589,423,1510,27261300000
19/09/2023,597,288,352,1237,21060900000
20/09/2023,625,751,710,2086,35694600000
21/09/2023,658,430,661,1749,27698600000
22/09/2023,857,249,897,2003,43736400000
23/09/2023,760,134,397,1291,22538500000
24/09/2023,401,296,515,1212,21140800000
25/09/2023,794,648,101,1543,24648700000
26/09/2023,391,480,303,1174,14468400000
27/09/2023,820,280,53,1153,11384200000
28/09/2023,426,463,279,1168,25481700000
29/09/2023,227,175,114,516,6576500000
30/09/2023,582,40,709,1331,31935300000
01/10/2023,111,695,238,1044,20658500000
02/10/2023,743,467,320,1530,29383700000
03/10/2023,386,423,637,1446,36995600000
04/10/2023,145,709,555,1409,15100500000
05/10/2023,815,612,236,1663,28422500000
06/10/2023,235,906,894,2035,30770500000
07/10/2023,430,185,954,1569,36131700000
08/10/2023,932,877,272,2081,32495000000
09/10/2023,201,966,218,1385,20451200000
10/10/2023,934,736,422,2092,24992600000
11/10/2023,397,599,137,1133,14806600000
12/10/2023,794,932,843,2569,37521300000
13/10/2023,956,341,152,1449,17400700000
14/10/2023,460,969,66,1495,25450900000
15/10/2023,801,423,199,1423,15946600000
16/10/2023,885,394,13,1292,17233500000
17/10/2023,259,571,199,1029,14800000000
18/10/2023,459,428,495,1382,31020000000
19/10/2023,823,75,172,1070,16267000000
20/10/2023,317,909,133,1359,20757400000
21/10/2023,184,266,343,793,21209900000
22/10/2023,955,823,144,1922,20490900000
23/10/2023,511,731,459,1701,35305800000
24/10/2023,890,1000,664,2554,36455000000
25/10/2023,771,756,240,1767,18682200000
26/10/2023,646,609,507,1762,38497200000
27/10/2023,177,24,695,896,17933700000
28/10/2023,384,53,228,665,15670300000
29/10/2023,736,143,855,1734,41789700000
30/10/2023,973,142,323,1438,19452500000
31/10/2023,431,87,65,583,9150500000
01/11/2023,198,934,590,1722,31550000000
02/11/2023,452,934,396,1782,35607000000
03/11/2023,540,973,103,1616,17699500000
04/11/2023,502,949,911,2362,61454800000
05/11/2023,541,337,939,1817,41589900000
06/11/2023,720,626,302,1648,33626600000
07/11/2023,161,881,491,1533,27119300000
08/11/2023,474,361,767,1602,18561200000
09/11/2023,382,429,340,1151,22780400000
10/11/2023,904,173,45,1122,11819100000
11/11/2023,100,869,26,995,14757700000
12/11/2023,870,469,682,2021,35846400000
13/11/2023,162,42,113,317,6981200000
14/11/2023,522,902,190,1614,21766600000
15/11/2023,579,158,548,1285,16587100000
16/11/2023,394,71,992,1457,54060100000
17/11/2023,799,318,490,1607,32010100000
18/11/2023,701,135,113,949,13363700000
19/11/2023,315,305,894,1514,39514300000
20/11/2023,196,131,593,920,13613000000
21/11/2023,107,401,33,541,4235000000
22/11/2023,249,581,486,1316,22399800000
23/11/2023,929,876,27,1832,26316900000
24/11/2023,935,578,771,2284,29996700000
25/11/2023,388,571,529,1488,32917200000
26/11/2023,467,625,892,1984,50931100000
27/11/2023,534,379,84,997,15107400000
28/11/2023,481,830,463,1774,28312000000
29/11/2023,771,941,613,2325,42108300000
30/11/2023,699,473,539,1711,30854100000
01/12/2023,225,628,911,1764,18565000000
02/12/2023,874,894,742,2510,54291000000
03/12/2023,91,71,51,213,3554800000
04/12/2023,640,300,621,1561,28548700000
05/12/2023,112,896,678,1686,42588800000
06/12/2023,877,935,961,2773,63584000000
07/12/2023,172,302,816,1290,45148000000
08/12/2023,353,165,269,787,13669600000
09/12/2023,53,856,438,1347,25845400000
10/12/2023,241,508,182,931,12391000000
11/12/2023,78,62,517,657,10758200000
12/12/2023,784,701,829,2314,25726500000
13/12/2023,970,692,122,1784,24040000000
14/12/2023,658,691,614,1963,20821700000
15/12/2023,941,595,849,2385,35167700000
16/12/2023,133,579,486,1198,20273900000
17/12/2023,862,995,38,1895,26714400000
18/12/2023,171,411,746,1328,20938400000
19/12/2023,925,491,290,1706,24159300000
20/12/2023,191,172,807,1170,17069400000
21/12/2023,241,32,806,1079,28155000000
22/12/2023,352,312,754,1418,22208000000
23/12/2023,154,422,234,810,9982800000
24/12/2023,597,11,82,690,14670300000
25/12/2023,453,851,502,1806,19699400000
26/12/2023,404,449,781,1634,30329300000
27/12/2023,982,832,258,2072,22604200000
28/12/2023,205,724,931,1860,23890600000
29/12/2023,80,991,105,1176,14260500000
30/12/2023,846,765,307,1918,24910100000
31/12/2023,89,628,539,1256,17726400000
01/01/2024,859,430,658,1947,41417500000
02/01/2024,916,638,913,2467,31950800000
03/01/2024,976,413,581,1970,39092500000
04/01/2024,658,292,132,1082,19864400000
05/01/2024,325,671,699,1695,40090200000
06/01/2024,944,958,981,2883,46684100000
07/01/2024,120,317,330,767,9399400000
08/01/2024,854,763,468,2085,37866300000
09/01/2024,510,498,922,1930,40686400000
10/01/2024,394,983,874,2251,20675000000
11/01/2024,959,177,983,2119,48524700000
12/01/2024,407,384,562,1353,20074300000
13/01/2024,569,619,435,1623,28279900000
14/01/2024,985,246,618,1849,49854200000
15/01/2024,925,865,794,2584,50494900000
16/01/2024,416,594,325,1335,24693200000
17/01/2024,753,531,113,1397,15200400000
18/01/2024,137,139,341,617,8661000000
19/01/2024,524,309,265,1098,14844500000
20/01/2024,206,832,145,1183,17342400000
21/01/2024,530,477,614,1621,30422100000
22/01/2024,909,828,960,2697,53124600000
23/01/2024,897,819,571,2287,28158100000
24/01/2024,382,272,255,909,11199800000
25/01/2024,136,414,159,709,13744900000
26/01/2024,417,628,146,1191,17852200000
27/01/2024,523,528,117,1168,15146800000
28/01/2024,738,624,303,1665,23001300000
29/01/2024,63,925,109,1097,15353700000
30/01/2024,558,722,466,1746,42386000000
31/01/2024,845,524,422,1791,29487800000
01/02/2024,188,469,843,1500,20422100000
02/02/2024,387,145,997,1529,52815100000
03/02/2024,372,838,220,1430,19231600000
04/02/2024,477,141,433,1051,17816300000
05/02/2024,779,994,645,2418,45220500000
06/02/2024,470,325,673,1468,13404000000
07/02/2024,816,742,986,2544,49176200000
08/02/2024,468,621,158,1247,23770000000
09/02/2024,886,303,98,1287,16537000000
10/02/2024,526,774,172,1472,15717600000
11/02/2024,727,168,755,1650,32189500000
12/02/2024,816,822,173,1811,27208800000
13/02/2024,921,498,503,1922,38747700000
14/02/2024,919,829,992,2740,33572000000
15/02/2024,509,17,678,1204,22755100000
16/02/2024,138,734,746,1618,41819200000
17/02/2024,558,706,746,2010,49605400000
18/02/2024,341,603,861,1805,23318900000
19/02/2024,870,563,119,1552,27046200000
20/02/2024,702,91,962,1755,41802800000
21/02/2024,554,857,202,1613,21068600000
22/02/2024,760,83,68,911,7352900000
23/02/2024,722,264,955,1941,28915200000
24/02/2024,354,194,828,1376,22480600000
25/02/2024,309,156,874,1339,20456000000
26/02/2024,452,742,204,1398,15077200000
27/02/2024,609,803,770,2182,38899300000
28/02/2024,168,866,815,1849,48524600000
29/02/2024,860,327,824,2011,36211800000
01/03/2024,587,81,35,703,12565800000
02/03/2024,309,984,425,1718,18575900000
03/03/2024,632,506,782,1920,19409000000
04/03/2024,98,448,55,601,7523500000
05/03/2024,947,610,52,1609,23897000000
06/03/2024,283,15,424,722,21630300000
07/03/2024,170,275,163,608,9402900000
08/03/2024,853,650,619,2122,41431400000
09/03/2024,56,256,303,615,13052600000
10/03/2024,171,955,784,1910,22778700000
11/03/2024,85,792,827,1704,21354900000
12/03/2024,480,999,13,1492,15422500000
13/03/2024,496,609,470,1575,19511100000
14/03/2024,350,991,112,1453,16901900000
15/03/2024,557,214,870,1641,25359700000
16/03/2024,943,961,901,2805,50416900000
17/03/2024,710,515,807,2032,51795800000
18/03/2024,523,57,709,1289,29431500000
19/03/2024,432,357,357,1146,21099300000
20/03/2024,127,502,285,914,11144800000
21/03/2024,666,730,790,2186,25985600000
22/03/2024,492,812,235,1539,21281500000
23/03/2024,332,937,543,1812,39972200000
24/03/2024,327,599,400,1326,23084100000
25/03/2024,597,820,771,2188,41475000000
26/03/2024,528,357,572,1457,20737800000
27/03/2024,895,840,854,2589,38369100000
28/03/2024,734,210,644,1588,27627400000
29/03/2024,258,413,474,1145,27844000000
30/03/2024,378,62,37,477,6995400000
31/03/2024,735,125,993,1853,25243100000
01/04/2024,791,51,118,960,16504200000
02/04/2024,753,814,268,1835,29395100000
03/04/2024,660,511,576,1747,36160200000
04/04/2024,242,732,921,1895,27037700000
05/04/2024,829,378,531,1738,40601000000
06/04/2024,105,600,923,1628,21685600000
07/04/2024,641,81,658,1380,27777000000
08/04/2024,537,149,859,1545,37204800000
09/04/2024,987,546,332,1865,32920100000
10/04/2024,297,879,232,1408,21291000000
11/04/2024,135,458,622,1215,36797100000
12/04/2024,92,481,992,1565,26303500000
13/04/2024,205,247,652,1104,35362000000
14/04/2024,842,762,550,2154,37843000000
15/04/2024,473,987,433,1893,32884400000
16/04/2024,986,659,376,2021,19729000000
17/04/2024,126,267,691,1084,25978200000
18/04/2024,102,94,955,1151,26488900000
19/04/2024,860,616,624,2100,46358400000
20/04/2024,285,611,101,997,15638200000
21/04/2024,501,785,438,1724,35250900000
22/04/2024,225,555,397,1177,19204700000
23/04/2024,106,38,85,229,2608700000
24/04/2024,673,103,448,1224,18513400000
25/04/2024,975,60,810,1845,35190000000
26/04/2024,544,363,657,1564,30166700000
27/04/2024,144,803,413,1360,17349300000
28/04/2024,575,354,133,1062,18624600000
29/04/2024,890,666,351,1907,27362800000
30/04/2024,498,263,410,1171,25387200000
01/05/2024,796,701,118,1615,24770200000
02/05/2024,338,696,790,1824,25960800000
03/05/2024,660,984,496,2140,39339200000
04/05/2024,96,268,626,990,23910400000
05/05/2024,374,568,878,1820,33716000000
06/05/2024,409,645,743,1797,19916800000
07/05/2024,299,325,333,957,18623500000
08/05/2024,728,870,971,2569,55868600000
09/05/2024,667,21,80,768,6246500000
10/05/2024,327,719,533,1579,23980500000
11/05/2024,380,929,415,1724,19995600000
12/05/2024,853,188,865,1906,29382100000
13/05/2024,626,184,444,1254,19653200000
14/05/2024,738,691,415,1844,38830600000
15/05/2024,731,696,688,2115,26848500000
16/05/2024,107,135,811,1053,23047300000
17/05/2024,179,68,753,1000,34801900000
18/05/2024,285,555,755,1595,33203500000
19/05/2024,495,438,721,1654,24873500000
20/05/2024,148,701,54,903,8637600000
21/05/2024,480,590,446,1516,29885800000
22/05/2024,821,734,619,2174,42885700000
23/05/2024,684,747,509,1940,33613200000
24/05/2024,328,993,540,1861,31566100000
25/05/2024,649,130,859,1638,35393600000
